appointment_month,appointments,completed,no_show,cancelled,avg_wait_time_min,avg_service_duration_min,avg_referral_delay_days,sms_reminder_rate_pct,completion_rate_pct,no_show_rate_pct,cancellation_rate_pct
2025-01,8657,6906,1336,415,17.52,29.79,7.0,69.08,79.77,15.43,4.79
2025-02,7647,6127,1138,382,17.4,30.02,6.95,69.58,80.12,14.88,5.0
2025-03,8548,6790,1305,453,17.59,30.16,6.93,70.31,79.43,15.27,5.3
2025-04,8286,6592,1266,428,17.54,30.02,7.02,70.43,79.56,15.28,5.17
2025-05,8422,6816,1235,371,17.48,30.05,7.06,71.27,80.93,14.66,4.41
2025-06,8173,6507,1254,412,17.41,30.04,7.16,70.16,79.62,15.34,5.04
2025-07,8332,6696,1214,422,17.55,29.92,6.99,70.78,80.36,14.57,5.06
2025-08,8653,6869,1322,462,17.58,30.07,6.96,69.79,79.38,15.28,5.34
2025-09,8264,6650,1193,421,17.47,30.01,6.99,69.95,80.47,14.44,5.09
2025-10,8454,6769,1250,435,17.46,29.93,6.93,70.78,80.07,14.79,5.15
2025-11,8041,6476,1175,390,17.49,30.06,6.94,70.58,80.54,14.61,4.85
2025-12,8523,6801,1284,438,17.5,29.96,7.06,69.67,79.8,15.07,5.14
